17:21:22.668 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - select sdt, sales_province, sales_province_code, city_real, channel, channel_code, customer_no, customer_name, update_by, create_date, sign_date, sign_amount, contract_begin, contract_end, attribute_code, attribute, first_category, first_category_code, second_category, second_category_code, third_category, third_category_code, work_no, sales_name, sales_supervisor_name, sales_supervisor_work_no, district_manager_name, district_manager_work_no, sdt_min, sdts, sale, sale_avg, profit from csx_b2b_data_center.fixation_report_add_customer
17:21:23.401 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在组装插入SQL(fixation_report_add_customer) ...
17:21:25.130 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 -3000 行数据
17:21:26.599 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 -3000 行数据
17:21:27.941 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 -3000 行数据
17:21:28.430 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 -1084 行数据
17:21:28.441 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - insert into fixation_report_add_customer -10084 rows is done. cost 5.008 seconds
17:21:28.442 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经全部同步完成
17:21:46.239 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.44/csx_b2b_data_center
17:21:46.870 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.28/data_hub
17:21:46.871 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - from 10.252.193.44 connection establied.
17:21:46.872 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - to 10.252.193.28 connection establied.
17:21:47.109 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - succes
17:21:47.228 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取 fixation_report_add_customer 表的DDL表结构
17:21:47.229 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - truncate table for fixation_report_add_customer is begin...
17:21:47.384 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取数据表 fixation_report_add_customer 的列
17:21:47.566 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在读取源数据--》  csx_b2b_data_center.fixation_report_add_customer 
17:21:47.567 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - select sdt, sales_province, sales_province_code, city_real, channel, channel_code, customer_no, customer_name, update_by, create_date, sign_date, sign_amount, contract_begin, contract_end, attribute_code, attribute, first_category, first_category_code, second_category, second_category_code, third_category, third_category_code, work_no, sales_name, sales_supervisor_name, sales_supervisor_work_no, district_manager_name, district_manager_work_no, sdt_min, sdts, sale, sale_avg, profit from csx_b2b_data_center.fixation_report_add_customer
17:21:48.256 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在组装插入SQL(fixation_report_add_customer) ...
17:21:50.465 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交 -3000 行数据
